showID,eventID,show_date,show_time,status,venueID
1,1,2024-05-01,17:30,CANCELED,8
2,1,2024-05-02,12:00,COMPLETED,4
3,1,2024-05-03,18:45,COMPLETED,11
4,1,2024-05-04,12:00,CANCELED,9
1,2,2024-05-11,19:30,CANCELED,9
2,2,2024-05-12,10:15,CANCELED,5
3,2,2024-05-13,13:00,CANCELED,1
4,2,2024-05-14,22:30,CANCELED,1
1,3,2024-06-05,16:30,SCHEDULED,1
2,3,2024-06-06,16:30,SCHEDULED,3
3,3,2024-06-07,16:00,SCHEDULED,7
4,3,2024-06-08,10:30,SCHEDULED,6
1,4,2024-06-29,19:30,SCHEDULED,12
2,4,2024-06-30,17:00,CANCELED,6
3,4,2024-07-01,15:00,CANCELED,5
4,4,2024-07-02,10:15,CANCELED,1
1,5,2024-07-16,12:30,SCHEDULED,12
2,5,2024-07-17,17:00,SCHEDULED,11
3,5,2024-07-18,22:00,CANCELED,9
4,5,2024-07-19,21:30,SCHEDULED,5
1,6,2024-07-23,13:00,CANCELED,3
2,6,2024-07-24,21:45,CANCELED,3
3,6,2024-07-25,20:45,SCHEDULED,2
4,6,2024-07-26,18:45,CANCELED,9
1,7,2024-08-11,20:45,SCHEDULED,4
2,7,2024-08-12,19:15,SCHEDULED,9
3,7,2024-08-13,11:45,CANCELED,7
4,7,2024-08-14,19:45,CANCELED,5
1,8,2024-08-17,15:15,SCHEDULED,7
2,8,2024-08-18,17:00,CANCELED,8
3,8,2024-08-19,12:30,CANCELED,2
4,8,2024-08-20,12:45,CANCELED,9
1,9,2024-09-10,22:00,CANCELED,10
2,9,2024-09-11,20:30,SCHEDULED,10
3,9,2024-09-12,18:30,SCHEDULED,5
4,9,2024-09-13,13:30,SCHEDULED,10
1,10,2024-09-16,16:45,SCHEDULED,3
2,10,2024-09-17,11:30,CANCELED,3
3,10,2024-09-18,15:00,SCHEDULED,12
4,10,2024-09-19,19:30,CANCELED,8
1,11,2024-09-29,14:30,CANCELED,2
2,11,2024-09-30,15:30,CANCELED,12
3,11,2024-10-01,15:45,SCHEDULED,8
4,11,2024-10-02,22:30,SCHEDULED,4
1,12,2024-10-14,17:30,SCHEDULED,11
2,12,2024-10-15,22:15,SCHEDULED,3
3,12,2024-10-16,21:30,CANCELED,1
4,12,2024-10-17,20:30,SCHEDULED,11
1,13,2024-10-27,22:45,CANCELED,3
2,13,2024-10-28,12:00,SCHEDULED,5
3,13,2024-10-29,13:00,SCHEDULED,1
4,13,2024-10-30,18:15,CANCELED,4
1,14,2024-11-06,16:30,SCHEDULED,4
2,14,2024-11-07,20:00,CANCELED,8
3,14,2024-11-08,18:30,SCHEDULED,11
4,14,2024-11-09,10:00,CANCELED,8
1,15,2024-11-17,22:00,SCHEDULED,10
2,15,2024-11-18,10:00,CANCELED,6
3,15,2024-11-19,10:30,CANCELED,3
4,15,2024-11-20,12:15,CANCELED,11
